country;year2018;year2019;year2020;year2021
Afghanistan;9,106997338;8,082723558;"	8,183717873";8,347669018
Argentina;192,0351295;183,1722982;171,8632498;189,0020275
Armenia;5,771485729;6,258425349;6,376822658;6,769803499
Australia;406,7872374;406,7599379;376,7787393;367,9069573
Austria;68,07014085;69,9559579;63,32086409;66,00769434
Azerbaijan;33,58560725;36,45785494;35,98299142;37,10504296
Bahamas;4,457246585;4,401421569;3,630362561;4,042735574
Bahrain;34,04226712;36,74809856;36,46890804;37,49464013
Bangladesh;96,70212054;104,8367314;104,1432745;106,8674407
Barbados;1,937676615;1,913705846;1,591364204;1,765476591
Belarus;64,28204293;62,03648026;57,08946532;58,36431734
Belgium;100,8413877;100,294369;90,71380805;95,92364019
Belize;0,711490773;0,666448856;0,55834987;0,635030944
Benin;8,269118725;8,117105317;8,026780152;8,629283856
Bermuda;0,903420205;0,892102624;0,736405508;0,819736879
Bhutan;1,702858826;1,894321419;1,775669218;1,975741344
Bolivia;23,2688932;22,63256837;20,25268496;22,42803649
Bosnia and Herzegovina;24,13868712;22,77247682;22,55440113;15,37006991
Botswana;7,440988906;7,377950884;6,705221979;6,999752167
Brazil;480,141718;478,1701797;441,3690236;489,8577336
British Virgin Islands;0,2508398;0,198026046;0,163881967;0,182326905
Brunei;7,712608598;7,346343641;7,201215237;7,207750563
Bulgaria;44,91957747;43,06376122;37,79516289;43,64437322
Burkina Faso;4,801420482;5,002361763;4,949869705;5,289855324
Burundi;0,705868146;0,745875159;0,667129323;0,710458691
Côte d’Ivoire;12,58899841;13,430183;13,64333046;14,54393137
Cabo Verde;0,84932269;0,860547562;0,847488748;0,915312864
Cambodia;13,37639881;16,16510089;16,4817471;16,9550226
Cameroon;10,50948783;10,44557063;9,806340523;10,20271103
Canada;608,4529066;608,4895939;548,4548514;563,5383792
Cayman Islands;0,780387321;0,936662183;0,772904917;0,860694083
Central African Republic;0,271964615;0,281495585;0,258337803;0,275919941
Chad;2,21429894;2,228859446;2,039959939;2,21421826
Chile;89,06049207;94,00974854;83,49511343;85,70328674
China;11499,29215;11771,07254;11948,1196;12466,31598
Colombia;80,34809029;83,4386396;73,03549238;77,57032327
Comoros;0,272166692;0,297099293;0,260508908;0,278186191
Congo;6,511091746;7,301687315;7,455445082;7,371025916
Cook Islands;0,10068293;0,10460329;0,105135442;0,109024911
Costa Rica;8,601214682;8,470658611;7,252645604;8,090574591
Croatia;18,2755026;18,49005763;17,18775399;17,99854832
Cuba;26,8989017;26,02547978;21,82407855;24,60550024
Curaçao;2,87702226;2,210519648;1,831085097;2,035324074
Cyprus;7,249109731;7,256855423;6,43223819;6,749550626
Czechia;107,1905268;102,2112683;92,37767311;97,69077436
